TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP,cluster
Masculino,Branca,Privada,535.6,520.4,611.0,536.3,760.0,EF-2 incompleto,EF-2 incompleto,True,18.0,1540.0016666666668,1.5,0.3333333333333333,0.6666666666666666,1.6666666666666667,1
Masculino,Preta,Privada,596.1,571.6,580.5,566.1,660.0,PG completo,ES incompleto,True,18.0,4840.001666666667,1.0,1.0,0.3333333333333333,3.5,1
Feminino,Parda,Municipal,500.2,450.4,476.6,424.1,620.0,Nunca estudou,EF-2 incompleto,True,18.0,165.0,0.75,0.25,0.0,1.0,0
Masculino,Branca,Estadual,531.5,384.4,642.6,514.1,760.0,ES incompleto,ES incompleto,True,18.0,412.50125,0.75,0.25,0.0,1.0,0
Masculino,Branca,Privada,395.3,451.5,605.3,600.1,560.0,PG completo,EM incompleto,True,18.0,4180.001666666667,1.0,0.6666666666666666,0.3333333333333333,2.0,0
Masculino,Branca,Estadual,475.6,530.1,563.0,558.1,560.0,PG incompleto,ES incompleto,True,17.0,742.50125,1.125,0.25,0.0,1.5,0
Masculino,Parda,Estadual,493.4,489.1,583.7,446.2,880.0,ES incompleto,EF-2 incompleto,True,17.0,726.001,0.9,0.2,0.2,1.0,0
Masculino,Branca,Privada,626.9,686.2,779.0,690.3,680.0,PG completo,PG incompleto,True,17.0,3630.00125,1.125,0.25,0.5,1.75,1
Feminino,Parda,Estadual,519.0,607.9,676.4,590.5,940.0,PG incompleto,PG incompleto,True,17.0,907.50125,1.125,0.25,0.5,1.25,1
Feminino,Preta,Privada,619.8,595.3,797.8,622.1,840.0,ES incompleto,EM incompleto,True,17.0,990.0016666666668,1.0,0.3333333333333333,1.0,1.0,1
Feminino,Branca,Privada,550.9,569.8,561.7,583.3,800.0,PG incompleto,PG incompleto,True,18.0,2860.001666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,1
Feminino,Parda,Estadual,431.2,390.5,465.3,419.2,0.0,PG incompleto,EM incompleto,True,18.0,165.0,1.125,0.0,0.0,1.0,0
Masculino,Branca,Privada,597.0,498.6,615.3,486.4,680.0,PG incompleto,PG incompleto,True,17.0,4620.000999999999,0.9,0.9,0.2,1.9,0
Feminino,Branca,Estadual,451.9,453.8,507.6,410.3,620.0,Nunca estudou,EF-1 incompleto,True,18.0,330.0,1.0,0.5,0.0,2.0,0
Feminino,Amarela,Privada,551.7,497.1,560.9,516.5,580.0,ES incompleto,ES incompleto,True,17.0,726.001,0.9,0.2,0.4,1.4,0
Feminino,Branca,Estadual,355.5,344.8,375.3,455.2,600.0,ES incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0
Masculino,Parda,Estadual,515.0,511.8,602.4,456.5,400.0,ES incompleto,ES incompleto,True,18.0,220.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.6666666666666667,0
Feminino,Branca,Estadual,524.9,435.6,461.0,508.2,420.0,ES incompleto,ES incompleto,True,17.0,1485.00125,1.125,0.5,0.25,1.75,0
Masculino,Parda,Estadual,438.5,344.3,423.8,392.4,260.0,ES incompleto,ES incompleto,True,18.0,330.0,1.0,0.5,0.5,2.0,0
Feminino,Branca,Estadual,617.0,583.3,666.3,595.7,880.0,PG completo,PG completo,True,18.0,1155.00125,1.125,0.75,0.25,1.5,1
Feminino,Branca,Privada,567.2,561.3,618.4,578.9,900.0,PG incompleto,ES incompleto,True,17.0,7700.001666666666,1.0,0.3333333333333333,0.3333333333333333,3.0,1
Feminino,Branca,Privada,523.6,457.7,496.3,556.2,540.0,EF-2 incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.0,1.3333333333333333,0
Masculino,Amarela,Privada,627.3,650.0,745.6,489.6,840.0,PG completo,PG completo,True,18.0,3135.0012500000003,1.125,0.5,0.5,2.5,1
Feminino,Branca,Privada,446.9,414.9,513.5,469.8,620.0,ES incompleto,PG completo,True,20.0,2860.001666666667,1.0,0.6666666666666666,0.3333333333333333,3.5,0
Feminino,Branca,Estadual,545.2,540.2,583.0,558.5,700.0,EM incompleto,ES incompleto,True,18.0,412.50125,0.75,0.0,0.0,0.5,1
Masculino,Preta,Estadual,517.6,566.6,494.5,488.2,360.0,EF-2 incompleto,ES incompleto,True,18.0,0.0,1.5,0.5,0.0,2.5,0
Masculino,Parda,Estadual,637.4,553.7,653.5,615.9,440.0,ES incompleto,ES incompleto,True,18.0,990.0016666666668,1.5,0.3333333333333333,0.3333333333333333,2.333333333333333,1
Feminino,Branca,Estadual,633.2,509.2,716.0,619.6,900.0,ES incompleto,EM incompleto,True,18.0,1716.0010000000002,0.9,0.4,0.2,1.4,1
Masculino,Branca,Privada,534.1,451.3,474.0,506.9,700.0,ES incompleto,PG completo,True,18.0,3630.00125,1.125,0.5,0.5,2.25,0
Masculino,Branca,Privada,647.4,590.9,689.2,583.5,840.0,PG incompleto,ES incompleto,False,17.0,1155.00125,0.5,0.0,0.25,1.0,1
Feminino,Parda,Estadual,629.4,555.2,737.9,601.6,820.0,ES incompleto,ES incompleto,True,19.0,412.50125,1.125,0.25,0.25,1.25,1
Feminino,Branca,Privada,526.1,584.4,454.8,555.8,620.0,EF-2 incompleto,PG incompleto,True,18.0,924.001,0.9,0.9,0.8,1.6,0
Feminino,Branca,Estadual,537.2,451.3,416.1,493.7,680.0,EF-2 incompleto,ES incompleto,True,18.0,1188.001,0.9,0.0,0.4,1.2,0
Feminino,Branca,Privada,658.7,545.6,732.7,627.2,900.0,PG incompleto,PG completo,True,18.0,1980.0016666666668,1.0,0.0,0.3333333333333333,2.333333333333333,1
Feminino,Branca,Estadual,497.3,486.9,386.1,572.8,440.0,EM incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.25,1.5,0
Masculino,Branca,Privada,574.2,567.8,678.1,574.9,500.0,PG completo,PG incompleto,True,17.0,2805.0012500000003,1.125,0.5,0.5,2.375,1
Masculino,Parda,Estadual,561.1,513.5,358.3,508.0,480.0,ES incompleto,EF-2 incompleto,True,18.0,220.0,1.0,0.0,0.0,1.0,0
Feminino,Branca,Privada,603.3,466.9,437.3,553.2,640.0,PG incompleto,PG completo,True,17.0,1155.0025,2.25,1.5,0.5,4.0,0
Masculino,Branca,Privada,645.5,557.4,736.7,689.6,880.0,PG incompleto,PG completo,True,17.0,742.50125,0.75,0.25,0.5,1.5,1
Masculino,Parda,Privada,646.2,568.9,716.2,641.6,720.0,PG incompleto,PG completo,True,18.0,4180.001666666667,1.0,1.0,0.6666666666666666,2.0,1
Feminino,Branca,Estadual,505.3,439.8,432.8,546.8,880.0,ES incompleto,ES incompleto,True,18.0,220.0,1.0,0.3333333333333333,0.3333333333333333,2.0,0
Masculino,Branca,Privada,527.6,616.2,695.9,475.1,900.0,ES incompleto,PG completo,True,17.0,1815.00125,1.125,0.5,0.25,2.375,1
Masculino,Parda,Estadual,620.1,494.0,527.6,547.0,660.0,EM incompleto,ES incompleto,True,17.0,330.0,0.5,0.5,0.0,3.0,1
Feminino,Preta,Estadual,390.2,432.8,359.2,467.4,640.0,EF-1 incompleto,ES incompleto,False,18.0,132.0,0.2,0.0,0.0,0.6,0
Feminino,Branca,Privada,617.7,607.8,742.1,623.9,740.0,PG incompleto,PG incompleto,True,17.0,4180.001666666667,1.0,1.5,1.0,2.6666666666666665,1
Masculino,Branca,Estadual,428.1,481.7,417.8,491.7,520.0,ES incompleto,EF-2 incompleto,False,18.0,165.0,0.5,0.0,0.0,0.75,0
