,TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP
5010,Masculino,Branca,Estadual,589.2,567.1,696.7,514.0,760.0,ES incompleto,ES incompleto,True,18.0,412.50125,0.0,0.25,0.25,1.0
5011,Feminino,Preta,Estadual,551.7,514.0,620.1,510.6,640.0,EM incompleto,EF-1 incompleto,True,18.0,220.0,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667
5012,Feminino,Branca,Privada,569.9,589.2,634.4,577.5,880.0,PG completo,PG incompleto,True,17.0,4455.00125,0.75,0.5,0.5,1.25
5013,Feminino,Branca,Privada,441.4,545.5,643.0,582.6,600.0,ES incompleto,ES incompleto,True,18.0,132.0,0.6,0.2,0.4,0.6
5014,Feminino,Branca,Privada,620.4,629.5,679.2,591.3,720.0,PG incompleto,PG incompleto,True,17.0,924.001,0.9,0.0,0.6,1.0
5015,Masculino,Branca,Privada,619.0,643.0,770.4,540.8,860.0,PG completo,PG incompleto,True,18.0,5775.001249999999,1.125,0.5,0.5,1.75
5016,Feminino,Branca,Privada,538.2,451.5,397.0,546.1,500.0,ES incompleto,ES incompleto,True,17.0,5775.001249999999,1.125,0.5,0.5,2.625
5017,Feminino,Preta,Privada,559.7,448.4,575.5,440.8,780.0,ES incompleto,ES incompleto,True,18.0,550.0016666666667,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667
5018,Feminino,Branca,Privada,629.6,648.1,702.2,659.1,720.0,PG completo,PG completo,True,17.0,5775.001249999999,1.125,1.125,0.5,3.125
5019,Feminino,Branca,Privada,553.1,514.4,389.8,548.9,600.0,ES incompleto,PG completo,True,18.0,1540.0016666666668,1.0,1.0,0.6666666666666666,2.333333333333333
5020,Feminino,Parda,Estadual,596.5,481.6,593.8,572.6,740.0,ES incompleto,ES incompleto,True,18.0,594.001,0.6,0.0,0.0,1.0
5021,Masculino,Amarela,Privada,693.5,684.7,720.8,632.0,760.0,PG completo,PG completo,True,18.0,7425.001249999999,1.125,0.75,0.75,3.375
5022,Feminino,Branca,Privada,628.5,546.7,639.1,612.4,780.0,PG incompleto,ES incompleto,True,17.0,0.0,0.25,0.25,0.0,0.75
5023,Feminino,Branca,Privada,610.9,609.1,753.1,579.7,760.0,ES incompleto,ES incompleto,True,18.0,1210.0016666666668,1.0,0.0,0.3333333333333333,1.6666666666666667
5024,Masculino,Branca,Privada,666.9,712.9,904.0,614.4,880.0,PG incompleto,PG incompleto,True,17.0,5775.001249999999,1.125,0.5,0.25,2.0
5025,Masculino,Branca,Privada,644.1,655.1,817.6,637.6,840.0,ES incompleto,PG completo,True,18.0,1980.0016666666668,1.0,0.3333333333333333,0.0,1.0
5026,Masculino,Branca,Estadual,638.1,552.9,663.2,600.3,840.0,EF-1 incompleto,EF-1 incompleto,True,17.0,412.50125,0.75,0.0,0.0,1.25
5027,Feminino,Branca,Privada,644.4,613.3,742.6,583.2,780.0,ES incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.25,1.25
5028,Feminino,Parda,Estadual,481.9,425.5,526.6,436.9,400.0,EF-1 incompleto,EF-1 incompleto,False,18.0,132.0,0.6,0.0,0.0,0.4
5029,Feminino,Branca,Privada,524.2,425.4,347.1,429.8,520.0,ES incompleto,PG completo,True,17.0,770.0008333333334,0.75,0.1666666666666666,0.3333333333333333,1.75
5030,Feminino,Branca,Privada,570.5,544.0,570.3,588.7,420.0,PG incompleto,PG incompleto,True,17.0,2475.0012500000003,1.125,0.25,0.5,1.25
