,TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP
0,Masculino,Parda,Privada,510.1,483.8,484.5,492.3,520.0,EM incompleto,ES incompleto,True,19.0,2310.0025,2.25,1.0,0.5,4.75
1,Feminino,Branca,Estadual,583.3,474.1,564.6,599.3,660.0,EM incompleto,PG incompleto,True,18.0,1188.001,0.9,0.4,0.0,1.8
2,Masculino,Branca,Privada,646.5,620.7,801.6,585.7,740.0,PG completo,PG completo,True,18.0,2475.0012500000003,0.75,1.125,0.25,1.5
3,Feminino,Branca,Privada,553.4,495.1,605.8,554.6,880.0,PG incompleto,PG incompleto,True,17.0,2475.0012500000003,1.125,0.5,0.25,2.625
4,Feminino,Branca,Privada,616.3,589.7,682.8,636.7,860.0,PG incompleto,PG incompleto,True,18.0,3300.001666666667,1.0,1.0,0.0,1.6666666666666667
5,Masculino,Branca,Estadual,549.8,565.9,624.0,608.9,780.0,EF-1 incompleto,ES incompleto,True,17.0,550.0016666666667,1.0,0.3333333333333333,0.0,1.6666666666666667
6,Masculino,Branca,Privada,634.2,622.5,753.1,627.3,800.0,PG completo,PG completo,True,17.0,4950.0025000000005,1.5,1.0,0.5,4.0
7,Masculino,Branca,Privada,562.5,469.0,657.7,537.5,900.0,PG completo,PG completo,True,17.0,4950.000833333333,0.75,0.75,0.75,3.583333333333333
8,Feminino,Branca,Privada,592.9,590.9,562.0,594.9,880.0,PG completo,PG completo,True,17.0,1980.0016666666668,1.5,0.6666666666666666,0.6666666666666666,2.333333333333333
9,Masculino,Parda,Estadual,462.3,439.6,477.7,394.9,580.0,EF-2 incompleto,EM incompleto,True,18.0,220.0,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667
10,Feminino,Preta,Estadual,491.9,468.6,517.8,523.5,760.0,PG incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.3333333333333333,2.0
11,Feminino,Branca,Privada,468.5,457.4,565.4,428.6,640.0,PG completo,ES incompleto,True,18.0,3135.0012500000003,1.125,0.75,0.75,2.125
12,Masculino,Amarela,Estadual,552.8,512.0,672.9,517.2,640.0,PG incompleto,PG completo,True,17.0,1155.00125,1.125,0.5,0.5,1.5
13,Masculino,Branca,Privada,610.8,573.1,714.2,571.9,840.0,PG completo,PG incompleto,True,18.0,3630.00125,1.125,0.5,0.5,2.875
14,Feminino,Branca,Privada,620.7,643.7,680.8,578.5,880.0,PG completo,PG incompleto,True,18.0,2475.0012500000003,0.5,0.25,0.5,1.25
15,Masculino,Branca,Privada,603.6,648.6,729.9,603.0,760.0,PG completo,PG incompleto,True,18.0,7425.001249999999,1.125,0.75,0.5,2.0
16,Masculino,Preta,Estadual,597.1,560.6,677.7,587.8,580.0,ES incompleto,EF-1 incompleto,True,18.0,412.50125,0.75,0.25,0.25,0.75
17,Feminino,Branca,Estadual,580.9,495.9,632.2,585.9,780.0,EF-2 incompleto,ES incompleto,True,17.0,726.001,0.9,0.2,0.0,1.0
18,Feminino,Branca,Privada,645.6,599.4,776.0,630.9,800.0,PG completo,PG completo,True,18.0,3630.00125,1.125,0.5,0.75,2.0
19,Feminino,Parda,Privada,627.1,573.0,684.5,593.2,800.0,PG incompleto,ES incompleto,True,18.0,2475.0012500000003,1.125,1.125,0.25,1.25
20,Masculino,Preta,Privada,503.1,565.2,636.3,445.9,800.0,EF-1 incompleto,PG completo,True,17.0,3630.00125,1.125,0.25,0.5,2.5
21,Feminino,Amarela,Privada,638.5,667.7,832.2,525.8,920.0,ES incompleto,EM incompleto,True,18.0,2475.0012500000003,1.125,0.75,0.25,1.5
22,Feminino,Preta,Estadual,461.0,392.0,427.2,481.5,540.0,ES incompleto,PG incompleto,True,18.0,550.0016666666667,1.0,0.0,0.0,1.6666666666666667
23,Feminino,Branca,Estadual,546.0,531.8,597.1,553.2,860.0,ES incompleto,ES incompleto,True,17.0,330.0,1.5,0.0,0.0,2.0
24,Feminino,Branca,Privada,633.3,593.6,729.1,653.0,920.0,EF-2 incompleto,ES incompleto,True,18.0,1485.00125,0.0,0.25,0.5,1.5
25,Feminino,Branca,Privada,552.9,481.7,596.8,590.9,800.0,PG completo,PG incompleto,True,18.0,4455.00125,1.125,0.75,0.5,2.625
26,Masculino,Branca,Privada,543.2,541.5,651.3,485.5,620.0,PG incompleto,PG incompleto,True,17.0,1716.0010000000002,0.2,0.4,0.9,2.4
27,Feminino,Parda,Estadual,583.4,572.9,622.4,595.3,880.0,ES incompleto,PG incompleto,True,17.0,742.50125,0.5,0.25,0.25,1.25
28,Masculino,Parda,Estadual,484.1,451.4,557.4,485.9,440.0,EF-2 incompleto,ES incompleto,True,18.0,594.001,0.6,0.0,0.0,0.8
29,Feminino,Branca,Privada,540.3,498.6,472.3,524.2,720.0,PG completo,ES incompleto,True,17.0,2475.0012500000003,1.125,0.25,0.25,2.375
30,Masculino,Branca,Estadual,587.0,565.5,530.0,519.1,440.0,ES incompleto,PG incompleto,True,18.0,453.750625,0.5625,0.25,0.125,0.875
31,Feminino,Branca,Estadual,614.9,613.8,653.5,598.5,860.0,EM incompleto,ES incompleto,True,18.0,110.0,0.5,0.0,0.0,1.0
32,Feminino,Branca,Estadual,659.4,611.6,691.5,575.7,840.0,PG incompleto,PG incompleto,True,18.0,1485.00125,0.75,0.25,0.5,1.0
33,Masculino,Branca,Privada,612.9,593.6,710.2,566.0,780.0,PG completo,PG completo,True,18.0,4840.001666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665
34,Masculino,Preta,Estadual,424.3,376.9,478.6,332.8,580.0,ES incompleto,PG completo,True,18.0,742.50125,0.75,0.25,0.25,1.0
35,Feminino,Branca,Estadual,438.7,519.8,386.2,519.9,800.0,PG completo,ES incompleto,True,18.0,924.001,0.6,0.0,0.2,1.0
36,Feminino,Branca,Estadual,514.2,502.4,400.1,468.2,340.0,EF-2 incompleto,ES incompleto,True,17.0,412.50125,0.75,0.0,0.0,1.0
37,Masculino,Branca,Privada,535.6,520.4,611.0,536.3,760.0,EF-2 incompleto,EF-2 incompleto,True,18.0,1540.0016666666668,1.5,0.3333333333333333,0.6666666666666666,1.6666666666666667
38,Masculino,Preta,Privada,596.1,571.6,580.5,566.1,660.0,PG completo,ES incompleto,True,18.0,4840.001666666667,1.0,1.0,0.3333333333333333,3.5
39,Feminino,Parda,Municipal,500.2,450.4,476.6,424.1,620.0,Nunca estudou,EF-2 incompleto,True,18.0,165.0,0.75,0.25,0.0,1.0
40,Masculino,Branca,Estadual,531.5,384.4,642.6,514.1,760.0,ES incompleto,ES incompleto,True,18.0,412.50125,0.75,0.25,0.0,1.0
41,Masculino,Branca,Privada,395.3,451.5,605.3,600.1,560.0,PG completo,EM incompleto,True,18.0,4180.001666666667,1.0,0.6666666666666666,0.3333333333333333,2.0
42,Masculino,Branca,Estadual,475.6,530.1,563.0,558.1,560.0,PG incompleto,ES incompleto,True,17.0,742.50125,1.125,0.25,0.0,1.5
43,Masculino,Parda,Estadual,493.4,489.1,583.7,446.2,880.0,ES incompleto,EF-2 incompleto,True,17.0,726.001,0.9,0.2,0.2,1.0
44,Masculino,Branca,Privada,626.9,686.2,779.0,690.3,680.0,PG completo,PG incompleto,True,17.0,3630.00125,1.125,0.25,0.5,1.75
45,Feminino,Parda,Estadual,519.0,607.9,676.4,590.5,940.0,PG incompleto,PG incompleto,True,17.0,907.50125,1.125,0.25,0.5,1.25
46,Feminino,Preta,Privada,619.8,595.3,797.8,622.1,840.0,ES incompleto,EM incompleto,True,17.0,990.0016666666668,1.0,0.3333333333333333,1.0,1.0
47,Feminino,Branca,Privada,550.9,569.8,561.7,583.3,800.0,PG incompleto,PG incompleto,True,18.0,2860.001666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0
48,Feminino,Parda,Estadual,431.2,390.5,465.3,419.2,0.0,PG incompleto,EM incompleto,True,18.0,165.0,1.125,0.0,0.0,1.0
49,Masculino,Branca,Privada,597.0,498.6,615.3,486.4,680.0,PG incompleto,PG incompleto,True,17.0,4620.000999999999,0.9,0.9,0.2,1.9
50,Feminino,Branca,Estadual,451.9,453.8,507.6,410.3,620.0,Nunca estudou,EF-1 incompleto,True,18.0,330.0,1.0,0.5,0.0,2.0
51,Feminino,Amarela,Privada,551.7,497.1,560.9,516.5,580.0,ES incompleto,ES incompleto,True,17.0,726.001,0.9,0.2,0.4,1.4
52,Feminino,Branca,Estadual,355.5,344.8,375.3,455.2,600.0,ES incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667
53,Masculino,Parda,Estadual,515.0,511.8,602.4,456.5,400.0,ES incompleto,ES incompleto,True,18.0,220.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.6666666666666667
54,Feminino,Branca,Estadual,524.9,435.6,461.0,508.2,420.0,ES incompleto,ES incompleto,True,17.0,1485.00125,1.125,0.5,0.25,1.75
55,Masculino,Parda,Estadual,438.5,344.3,423.8,392.4,260.0,ES incompleto,ES incompleto,True,18.0,330.0,1.0,0.5,0.5,2.0
56,Feminino,Branca,Estadual,617.0,583.3,666.3,595.7,880.0,PG completo,PG completo,True,18.0,1155.00125,1.125,0.75,0.25,1.5
57,Feminino,Branca,Privada,567.2,561.3,618.4,578.9,900.0,PG incompleto,ES incompleto,True,17.0,7700.001666666666,1.0,0.3333333333333333,0.3333333333333333,3.0
58,Feminino,Branca,Privada,523.6,457.7,496.3,556.2,540.0,EF-2 incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.0,1.3333333333333333
59,Masculino,Amarela,Privada,627.3,650.0,745.6,489.6,840.0,PG completo,PG completo,True,18.0,3135.0012500000003,1.125,0.5,0.5,2.5
60,Feminino,Branca,Privada,446.9,414.9,513.5,469.8,620.0,ES incompleto,PG completo,True,20.0,2860.001666666667,1.0,0.6666666666666666,0.3333333333333333,3.5
61,Feminino,Branca,Estadual,545.2,540.2,583.0,558.5,700.0,EM incompleto,ES incompleto,True,18.0,412.50125,0.75,0.0,0.0,0.5
62,Masculino,Preta,Estadual,517.6,566.6,494.5,488.2,360.0,EF-2 incompleto,ES incompleto,True,18.0,0.0,1.5,0.5,0.0,2.5
63,Masculino,Parda,Estadual,637.4,553.7,653.5,615.9,440.0,ES incompleto,ES incompleto,True,18.0,990.0016666666668,1.5,0.3333333333333333,0.3333333333333333,2.333333333333333
64,Feminino,Branca,Estadual,633.2,509.2,716.0,619.6,900.0,ES incompleto,EM incompleto,True,18.0,1716.0010000000002,0.9,0.4,0.2,1.4
65,Masculino,Branca,Privada,534.1,451.3,474.0,506.9,700.0,ES incompleto,PG completo,True,18.0,3630.00125,1.125,0.5,0.5,2.25
66,Masculino,Branca,Privada,647.4,590.9,689.2,583.5,840.0,PG incompleto,ES incompleto,False,17.0,1155.00125,0.5,0.0,0.25,1.0
67,Feminino,Parda,Estadual,629.4,555.2,737.9,601.6,820.0,ES incompleto,ES incompleto,True,19.0,412.50125,1.125,0.25,0.25,1.25
68,Feminino,Branca,Privada,526.1,584.4,454.8,555.8,620.0,EF-2 incompleto,PG incompleto,True,18.0,924.001,0.9,0.9,0.8,1.6
69,Feminino,Branca,Estadual,537.2,451.3,416.1,493.7,680.0,EF-2 incompleto,ES incompleto,True,18.0,1188.001,0.9,0.0,0.4,1.2
70,Feminino,Branca,Privada,658.7,545.6,732.7,627.2,900.0,PG incompleto,PG completo,True,18.0,1980.0016666666668,1.0,0.0,0.3333333333333333,2.333333333333333
71,Feminino,Branca,Estadual,497.3,486.9,386.1,572.8,440.0,EM incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.25,1.5
72,Masculino,Branca,Privada,574.2,567.8,678.1,574.9,500.0,PG completo,PG incompleto,True,17.0,2805.0012500000003,1.125,0.5,0.5,2.375
73,Masculino,Parda,Estadual,561.1,513.5,358.3,508.0,480.0,ES incompleto,EF-2 incompleto,True,18.0,220.0,1.0,0.0,0.0,1.0
74,Feminino,Branca,Privada,603.3,466.9,437.3,553.2,640.0,PG incompleto,PG completo,True,17.0,1155.0025,2.25,1.5,0.5,4.0
75,Masculino,Branca,Privada,645.5,557.4,736.7,689.6,880.0,PG incompleto,PG completo,True,17.0,742.50125,0.75,0.25,0.5,1.5
76,Masculino,Parda,Privada,646.2,568.9,716.2,641.6,720.0,PG incompleto,PG completo,True,18.0,4180.001666666667,1.0,1.0,0.6666666666666666,2.0
77,Feminino,Branca,Estadual,505.3,439.8,432.8,546.8,880.0,ES incompleto,ES incompleto,True,18.0,220.0,1.0,0.3333333333333333,0.3333333333333333,2.0
78,Masculino,Branca,Privada,527.6,616.2,695.9,475.1,900.0,ES incompleto,PG completo,True,17.0,1815.00125,1.125,0.5,0.25,2.375
79,Masculino,Parda,Estadual,620.1,494.0,527.6,547.0,660.0,EM incompleto,ES incompleto,True,17.0,330.0,0.5,0.5,0.0,3.0
80,Feminino,Preta,Estadual,390.2,432.8,359.2,467.4,640.0,EF-1 incompleto,ES incompleto,False,18.0,132.0,0.2,0.0,0.0,0.6
81,Feminino,Branca,Privada,617.7,607.8,742.1,623.9,740.0,PG incompleto,PG incompleto,True,17.0,4180.001666666667,1.0,1.5,1.0,2.6666666666666665
82,Masculino,Branca,Estadual,428.1,481.7,417.8,491.7,520.0,ES incompleto,EF-2 incompleto,False,18.0,165.0,0.5,0.0,0.0,0.75
83,Masculino,Branca,Privada,599.7,583.4,723.8,581.4,760.0,PG completo,PG completo,True,17.0,7425.001249999999,1.125,1.125,0.5,3.125
84,Feminino,Branca,Estadual,553.0,438.9,389.3,555.2,700.0,ES incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665
85,Feminino,Preta,Estadual,417.6,447.3,429.9,453.9,640.0,ES incompleto,PG completo,True,17.0,924.001,0.9,0.2,0.2,0.8
86,Masculino,Branca,Privada,535.9,448.8,696.4,510.5,560.0,ES incompleto,PG completo,True,18.0,1155.00125,1.125,0.25,0.25,1.25
87,Feminino,Branca,Privada,618.0,606.8,782.1,665.3,860.0,PG incompleto,PG completo,True,18.0,9900.001666666663,1.0,1.0,0.6666666666666666,3.0
88,Feminino,Parda,Estadual,575.9,488.6,631.7,521.0,600.0,ES incompleto,PG completo,False,18.0,1485.0025,0.5,0.5,0.0,2.5
89,Feminino,Parda,Estadual,352.8,426.2,449.7,424.1,0.0,ES incompleto,ES incompleto,True,20.0,825.0025,1.0,0.0,0.0,1.0
90,Feminino,Preta,Estadual,520.4,402.8,517.5,506.3,520.0,EF-1 incompleto,EF-1 incompleto,True,18.0,550.0016666666667,1.5,0.0,0.3333333333333333,1.6666666666666667
91,Masculino,Parda,Estadual,614.7,630.7,621.7,606.5,680.0,EM incompleto,PG incompleto,True,18.0,742.50125,0.5,0.0,0.0,0.75
92,Feminino,Preta,Privada,613.9,531.0,603.2,614.3,840.0,ES incompleto,PG completo,True,17.0,726.001,0.9,0.6,0.4,2.1
93,Masculino,Parda,Privada,665.1,700.5,805.5,615.3,880.0,PG completo,PG completo,True,17.0,5940.001666666667,1.0,0.3333333333333333,0.3333333333333333,2.333333333333333
94,Feminino,Branca,Estadual,553.1,477.8,653.5,529.5,640.0,EF-1 incompleto,EF-1 incompleto,True,18.0,165.0,0.5,0.0,0.0,1.25
95,Feminino,Branca,Estadual,545.3,533.7,543.2,493.2,600.0,EM incompleto,ES incompleto,True,17.0,907.50125,1.125,0.0,0.25,2.0
96,Feminino,Branca,Estadual,633.0,533.0,615.6,559.1,800.0,EF-1 incompleto,ES incompleto,True,18.0,2244.001,0.9,0.4,0.0,1.9
97,Masculino,Parda,Estadual,456.9,398.0,511.3,481.6,320.0,ES incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.0,0.3333333333333333,1.6666666666666667
98,Feminino,Branca,Estadual,446.3,456.3,344.6,484.7,600.0,PG incompleto,PG incompleto,True,17.0,1188.001,0.6,0.4,0.2,1.4
99,Feminino,Branca,Estadual,499.6,559.0,392.3,526.6,680.0,EF-1 incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.6666666666666666,3.0
100,Feminino,Branca,Estadual,528.2,527.3,502.4,585.1,660.0,PG incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.0,0.0,1.0
101,Feminino,Branca,Privada,619.4,562.7,718.7,598.0,840.0,PG completo,PG completo,True,18.0,7700.001666666666,1.0,0.6666666666666666,0.3333333333333333,3.0
102,Masculino,Parda,Estadual,593.3,468.0,729.6,608.4,600.0,PG incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.0,1.0
103,Feminino,Branca,Privada,564.8,583.1,656.9,601.4,780.0,PG completo,PG incompleto,True,17.0,4620.000999999999,0.9,0.9,0.8,2.0
104,Masculino,Branca,Privada,684.7,640.0,626.4,563.1,600.0,PG incompleto,PG incompleto,False,17.0,1155.0025,1.0,0.5,0.0,2.0
105,Feminino,Branca,Privada,717.2,693.7,890.1,652.8,980.0,PG completo,PG incompleto,True,18.0,5775.001249999999,1.125,1.125,0.5,3.125
106,Feminino,Branca,Privada,599.7,711.1,817.8,611.4,880.0,ES incompleto,PG incompleto,True,16.0,990.0016666666668,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333
107,Feminino,Branca,Privada,551.4,581.1,511.1,592.1,520.0,EF-1 incompleto,EF-1 incompleto,True,18.0,330.0,1.0,0.0,0.0,2.5
108,Masculino,Branca,Privada,534.6,501.4,616.2,562.9,520.0,PG completo,PG completo,True,17.0,9900.001666666663,1.0,0.6666666666666666,0.6666666666666666,2.333333333333333
109,Masculino,Branca,Privada,611.4,644.5,733.0,618.3,760.0,PG incompleto,PG incompleto,True,17.0,4840.001666666667,1.0,0.3333333333333333,0.6666666666666666,2.0
110,Masculino,Branca,Privada,508.8,550.4,506.3,518.7,800.0,PG completo,PG completo,True,18.0,5940.000999999999,0.9,0.9,0.4,3.7
111,Feminino,Branca,Privada,569.3,520.5,463.1,499.1,600.0,ES incompleto,PG incompleto,True,17.0,2244.001,0.9,0.2,0.2,1.2
112,Masculino,Parda,Estadual,538.3,532.1,706.2,556.0,540.0,EF-2 incompleto,ES incompleto,True,17.0,742.50125,1.125,0.25,0.0,1.5
113,Feminino,Branca,Estadual,625.4,556.5,704.5,568.1,880.0,ES incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.25,1.0
114,Masculino,Branca,Privada,632.8,640.3,701.6,613.8,880.0,PG completo,PG completo,True,18.0,7425.001249999999,1.125,0.5,0.5,2.375
115,Feminino,Branca,Estadual,591.6,554.9,570.2,585.3,760.0,PG incompleto,ES incompleto,True,17.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
116,Feminino,Branca,Privada,689.6,718.3,865.1,675.0,920.0,PG completo,PG completo,True,18.0,2475.0012500000003,1.125,1.125,0.5,2.25
117,Feminino,Branca,Privada,475.2,551.6,476.1,544.3,720.0,PG incompleto,PG incompleto,True,17.0,8910.0025,1.0,1.5,0.5,3.0
118,Masculino,Branca,Privada,612.6,570.3,708.1,546.4,840.0,ES incompleto,PG incompleto,True,17.0,14850.0025,1.0,1.0,1.0,4.75
119,Masculino,Parda,Estadual,592.4,553.8,662.8,554.9,420.0,ES incompleto,ES incompleto,True,17.0,462.001,0.9,0.4,0.2,1.2
120,Feminino,Parda,Estadual,529.7,537.8,614.7,584.8,900.0,EM incompleto,ES incompleto,True,18.0,1210.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
121,Feminino,Preta,Estadual,526.7,366.7,495.7,517.9,560.0,ES incompleto,ES incompleto,True,17.0,165.0,0.0,0.0,0.0,0.75
122,Feminino,Branca,Estadual,592.0,570.4,578.6,550.0,660.0,PG incompleto,PG incompleto,True,20.0,1815.00125,0.75,0.5,0.75,2.125
123,Feminino,Parda,Estadual,576.6,511.9,606.9,622.0,820.0,EM incompleto,PG incompleto,True,18.0,825.0025,1.0,0.5,0.0,2.5
124,Masculino,Parda,Estadual,599.2,490.7,643.4,580.2,580.0,EF-1 incompleto,EF-1 incompleto,True,18.0,462.001,0.9,0.2,0.0,1.6
125,Masculino,Branca,Privada,658.1,599.4,696.7,632.1,560.0,PG completo,PG incompleto,True,18.0,3135.0012500000003,1.125,0.5,0.25,1.75
126,Feminino,Branca,Privada,508.4,425.4,448.0,495.6,640.0,ES incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.5,1.5
127,Masculino,Branca,Privada,541.6,605.6,638.5,526.7,780.0,PG incompleto,PG incompleto,True,18.0,4455.00125,0.5,0.5,0.5,2.0
128,Masculino,Parda,Estadual,574.8,561.8,646.6,546.6,560.0,ES incompleto,ES incompleto,True,17.0,2420.0016666666666,1.0,0.3333333333333333,0.3333333333333333,2.333333333333333
129,Feminino,Parda,Estadual,549.2,509.5,442.4,534.4,580.0,EF-1 incompleto,EM incompleto,True,19.0,412.50125,0.0,0.0,0.25,1.0
130,Masculino,Branca,Privada,456.5,543.5,437.0,509.3,560.0,EF-2 incompleto,ES incompleto,True,17.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.0
131,Feminino,Parda,Estadual,492.0,326.4,358.7,479.5,460.0,ES incompleto,PG completo,True,17.0,1815.0025,1.0,0.0,0.0,2.5
132,Masculino,Branca,Privada,639.3,709.2,791.5,570.2,640.0,PG completo,PG completo,True,17.0,4455.00125,1.125,1.125,0.75,1.5
133,Masculino,Parda,Privada,373.0,533.6,700.3,603.1,900.0,ES incompleto,PG completo,True,17.0,4455.00125,1.125,0.5,0.25,1.75
134,Feminino,Branca,Estadual,432.3,424.2,359.7,459.2,440.0,ES incompleto,EM incompleto,True,18.0,550.0016666666667,0.6666666666666666,0.0,0.0,1.6666666666666667
135,Feminino,Branca,Privada,592.4,591.6,596.5,590.7,820.0,PG incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.25,1.25
136,Feminino,Branca,Estadual,504.0,495.5,546.6,563.6,540.0,EF-1 incompleto,EM incompleto,True,18.0,550.0016666666667,0.6666666666666666,0.0,0.0,1.3333333333333333
137,Feminino,Parda,Privada,464.5,429.6,523.5,470.1,580.0,PG completo,PG completo,True,18.0,1540.0016666666668,1.0,0.6666666666666666,0.3333333333333333,2.0
138,Masculino,Branca,Privada,370.6,460.1,591.4,490.3,460.0,ES incompleto,PG incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.333333333333333
139,Feminino,Parda,Privada,599.1,565.0,649.8,558.0,900.0,EM incompleto,PG completo,True,17.0,2805.0012500000003,1.125,0.5,0.5,2.25
140,Feminino,Branca,Privada,602.2,449.5,573.4,536.3,880.0,PG incompleto,PG incompleto,True,18.0,2904.001,0.9,0.4,0.4,1.9
141,Masculino,Branca,Privada,682.1,687.1,849.3,653.0,800.0,PG completo,PG completo,True,17.0,4455.00125,1.125,0.75,0.5,1.75
142,Feminino,Parda,Estadual,539.2,474.5,535.3,552.7,540.0,EM incompleto,ES incompleto,True,18.0,0.0,0.3333333333333333,0.0,0.0,0.5
143,Masculino,Preta,Privada,615.5,558.8,641.2,653.9,740.0,PG incompleto,PG completo,True,17.0,4290.0025000000005,1.5,0.5,0.5,3.5
144,Masculino,Branca,Privada,550.7,520.2,541.1,592.3,580.0,PG completo,PG completo,True,17.0,1980.0016666666668,1.0,0.6666666666666666,0.3333333333333333,2.6666666666666665
145,Feminino,Branca,Estadual,512.8,495.4,424.5,547.2,660.0,ES incompleto,ES incompleto,True,17.0,385.0008333333333,0.75,0.1666666666666666,0.3333333333333333,1.1666666666666667
146,Feminino,Preta,Estadual,517.5,528.8,477.6,517.1,680.0,EF-2 incompleto,EF-2 incompleto,True,17.0,726.001,0.9,0.2,0.0,1.4
147,Masculino,Branca,Privada,589.5,557.3,758.0,624.0,960.0,PG completo,PG completo,True,18.0,7425.001249999999,1.125,1.125,1.125,2.25
148,Masculino,Branca,Privada,549.4,568.6,512.4,547.4,640.0,PG incompleto,PG incompleto,True,17.0,2860.001666666667,1.0,0.3333333333333333,1.0,2.0
149,Feminino,Preta,Privada,566.1,465.5,446.8,535.8,740.0,PG incompleto,ES incompleto,True,17.0,1980.0016666666668,1.0,1.0,0.3333333333333333,1.6666666666666667
150,Masculino,Branca,Estadual,633.6,469.2,378.1,563.0,540.0,EM incompleto,PG completo,True,18.0,1452.001,0.9,0.2,0.2,1.4
151,Masculino,Branca,Privada,622.5,569.3,741.3,647.9,840.0,PG completo,PG completo,True,18.0,2860.001666666667,1.0,1.0,0.0,1.6666666666666667
152,Feminino,Branca,Estadual,576.4,521.9,622.6,590.0,700.0,ES incompleto,ES incompleto,True,19.0,1155.0025,1.5,0.5,1.0,3.5
153,Feminino,Amarela,Estadual,624.1,636.4,712.0,578.1,940.0,PG incompleto,ES incompleto,True,17.0,770.0016666666667,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667
154,Feminino,Branca,Privada,633.5,461.8,628.5,565.8,520.0,EM incompleto,EF-2 incompleto,True,18.0,550.0016666666667,1.0,0.3333333333333333,0.3333333333333333,2.0
155,Feminino,Parda,Estadual,500.9,452.0,435.3,474.2,580.0,PG incompleto,ES incompleto,True,18.0,1870.0008333333333,0.75,0.3333333333333333,0.1666666666666666,1.4166666666666667
156,Feminino,Branca,Privada,630.4,599.9,697.2,600.1,880.0,PG completo,PG completo,True,18.0,1072.500625,0.5625,0.0,0.125,0.75
157,Feminino,Branca,Privada,514.4,394.8,570.9,509.6,700.0,PG incompleto,PG incompleto,True,17.0,577.50125,1.125,0.25,0.25,1.25
158,Feminino,Branca,Estadual,549.3,449.7,440.4,513.0,580.0,PG completo,ES incompleto,True,18.0,1155.00125,1.125,0.25,0.5,1.5
159,Feminino,Parda,Privada,550.4,511.7,471.0,567.9,620.0,ES incompleto,ES incompleto,True,17.0,5940.001666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333
160,Masculino,Parda,Estadual,455.6,403.1,359.5,421.0,0.0,PG completo,ES incompleto,True,17.0,330.0,1.0,0.5,0.0,2.0
161,Masculino,Parda,Privada,518.7,455.3,597.8,518.9,700.0,PG completo,ES incompleto,True,17.0,2805.0012500000003,1.125,0.0,0.0,1.5
162,Feminino,Parda,Estadual,589.4,533.8,520.8,601.1,840.0,EF-2 incompleto,EM incompleto,True,18.0,1155.00125,1.125,0.25,0.25,1.5
163,Masculino,Parda,Estadual,478.2,443.6,527.5,468.0,500.0,ES incompleto,ES incompleto,True,17.0,165.0,0.5,0.0,0.0,1.25
164,Feminino,Branca,Privada,700.4,584.6,693.5,642.8,900.0,PG completo,PG incompleto,True,17.0,4620.000999999999,0.9,0.4,0.4,1.9
165,Masculino,Branca,Privada,554.7,591.3,657.3,619.3,740.0,ES incompleto,PG completo,True,17.0,3630.00125,1.125,0.5,0.5,2.0
166,Feminino,Branca,Privada,675.5,720.5,853.4,669.0,860.0,PG completo,PG incompleto,True,17.0,1485.00125,0.75,0.75,0.5,1.75
167,Masculino,Branca,Privada,553.9,531.0,551.7,533.6,620.0,PG incompleto,PG incompleto,True,17.0,9900.001666666663,1.5,0.6666666666666666,0.3333333333333333,2.333333333333333
168,Masculino,Branca,Privada,598.2,636.5,851.6,549.4,680.0,PG completo,PG incompleto,True,17.0,9900.001666666663,1.5,1.5,0.3333333333333333,3.1666666666666665
